Country Name,GDP (current US$),Internet users (per 100 people),Rural Population,Population total,GDP per capita (current US$),Labor force total,Labor force female (% of total labor force),Armed forces personnel (% of total labor force),Surface area (sq. km),Population density (people per sq. km of land area),Arable land (% of land area),Unemployment total (% of total labor force) (modeled ILO estimate),Unemployment female (% of female labor force) (modeled ILO estimate)
Turks and Caicos Islands,0,0,2890.2,32398.6,0,0,0,0,950,34.1038,1.05263,0,0
Trinidad and Tobago,2.29E+10,58.4232,1.22E+06,1.34E+06,17141.6,678410,41.9843,0.597499,5130,261.489,4.87329,5.35,6.825
Bolivia,2.71E+10,32.74,3.35E+06,1.02E+07,2635.22,4.85E+06,44.4726,1.71689,1.10E+06,9.45206,3.86966,2.825,3.5
Sweden,5.49E+11,92.6507,1.39E+06,9.53E+06,57611.3,5.05E+06,47.2148,0.36978,448572,23.3215,6.3778,8.175,8.05
Switzerland,6.57E+11,85.5266,2.10E+06,8.00E+06,82577,4.61E+06,45.8684,0.501236,41285,202.519,10.2231,4.275,4.575
Vanuatu,7.69E+08,11.5796,185124,247544,3141.56,107977,43.522,0,12190,20.3072,1.64069,0,0
Belarus,6.56E+10,46.3098,2.32E+06,9.47E+06,6921.73,4.47E+06,48.7597,3.6759,207600,46.6842,27.3023,5.95,4.425
Bermuda,5.60E+09,91.1891,0,64933.6,86346.8,0,0,0,50,1298.67,6,0,0
Kuwait,1.55E+11,70.3558,58157.4,3.41E+06,46275.2,1.74E+06,26.9494,1.30675,17820,191.527,0.576599,2.975,2.35
Comoros,5.91E+08,6.01106,528149,734003,804.092,246437,30.2754,0,1861,394.413,34.9275,6.5,6.975
Cote d'Ivoire,2.86E+10,6.72,1.01E+07,2.11E+07,1348.5,7.96E+06,37.5575,0,322460,66.4265,9.1195,4.05,3.65
Kosovo,6.67E+09,0,0,1.80E+06,3700.58,0,0,0,10887,165.576,0,0,0
Peru,1.83E+11,37.676,6.75E+06,3.02E+07,6069.6,1.62E+07,45.0703,1.18436,1.29E+06,23.5673,3.20703,3.85,4.175
Tunisia,4.57E+10,41.4603,3.63E+06,1.08E+07,4257.89,3.90E+06,26.9206,1.22633,163610,69.3634,18.285,14.65,17.2
Lithuania,4.36E+10,66.7146,1.00E+06,3.00E+06,14560.9,1.55E+06,50.388,1.51564,65300,47.8669,35.3577,14.525,12.325
Somalia,0,1.43917,6.21E+06,1.00E+07,0,2.92E+06,33.599,0.304923,637660,16.0065,1.67373,6.9,7.35
Jordan,3.11E+10,36.82,1.08E+06,6.32E+06,4911.24,1.66E+06,17.9895,6.80479,89320,71.2142,2.25614,12.55,21.975
West Bank and Gaza,1.12E+10,44.43,1.03E+06,4.05E+06,2749.79,952141,18.2193,6.01835,6020,672.732,7.44186,22.775,20.45
Namibia,1.26E+10,13.0563,1.29E+06,2.29E+06,5492.2,844026,48.5563,1.80148,824290,2.78757,0.971711,18.875,20.775
Myanmar,6.59E+10,1.19982,3.55E+07,5.26E+07,1244.11,2.91E+07,49.5612,1.7624,676590,80.4761,16.5035,3.4,3.675
Romania,1.81E+11,45.9329,9.21E+06,2.01E+07,9026.9,9.51E+06,44.839,1.59772,238390,87.2356,38.7766,7.25,6.525
United States,1.62E+13,78.4559,5.93E+07,3.14E+08,51444.3,1.59E+08,45.998,0.947731,9.83E+06,34.3383,16.7954,8.575,8.05
Virgin Islands (U.S.),0,40.5476,5361.4,105247,0,53044.2,45.8113,0,350,300.705,2.85714,0,0
American Samoa,0,0,6966.4,55383,0,0,0,0,200,276.915,15,0,0
Lao PDR,9.56E+09,10.7015,4.18E+06,6.47E+06,1470.85,3.18E+06,50.2259,4.06745,236800,28.0501,6.24675,1.4,1.125
Kenya,4.96E+10,31.3,3.22E+07,4.26E+07,1161.02,1.62E+07,46.4599,0.180183,580370,74.7963,10.103,9.25,10.525
Finland,2.63E+11,89.8749,875827,5.41E+06,48652,2.71E+06,47.7139,0.920801,338420,17.8143,7.38625,7.975,7.3
Sudan,6.72E+10,20.4688,2.51E+07,3.77E+07,1656.44,1.16E+07,29.2394,1.9641,2.00E+06,20.4986,7.80503,14.9,20
Suriname,4.78E+09,35.1502,178537,528363,9074.73,206262,37.1965,0.904174,163820,3.38694,0.360577,7.55,10.25
United Kingdom,2.65E+12,87.8628,1.16E+07,6.37E+07,41553.5,3.24E+07,45.9595,0.516101,243610,263.169,25.327,7.8,7.075
Netherlands,8.55E+11,92.4253,1.92E+06,1.67E+07,51077.8,8.94E+06,45.9928,0.484344,41508,496.839,30.2435,5.225,5.075
Mozambique,1.40E+10,4.93182,1.77E+07,2.58E+07,542.003,1.16E+07,53.4622,0.0965033,799380,32.7462,7.18482,8.3,9.3
Lesotho,2.27E+09,5.73488,1.53E+06,2.06E+06,1101.79,846300,45.9882,0.236437,30360,67.8071,9.5471,24.925,27.825
Philippines,2.46E+11,33.385,5.30E+07,9.61E+07,2556.44,4.15E+07,39.0312,0.398953,300000,322.144,18.3788,7.1,6.875
El Salvador,2.36E+10,21.5861,2.11E+06,6.07E+06,3880.6,2.65E+06,41.7304,1.2199,21040,293.08,33.9527,6.5,4.6
Samoa,7.64E+08,13.4845,151794,188920,4041.64,48658.8,27.4416,0,2840,66.7561,2.82686,0,0
Portugal,2.31E+11,59.1151,4.02E+06,1.05E+07,21980.1,5.49E+06,47.9932,1.59615,92214,114.637,12.3018,13.9,14.3
Mongolia,1.09E+10,17.22,857975,2.81E+06,3863.52,1.26E+06,45.6828,1.37421,1.56E+06,1.80864,0.392389,5.35,5.15
Spain,1.42E+12,70.207,9.84E+06,4.66E+07,30367.8,2.36E+07,44.9326,0.921255,505804,93.2276,25.0446,23.425,23.975
Benin,7.69E+09,4.39566,5.76E+06,1.01E+07,763.22,4.11E+06,46.9444,0.216235,114760,89.1445,23.3239,1,1.125
Zambia,2.46E+10,13.5416,8.94E+06,1.48E+07,1655.62,6.20E+06,46.5166,0.266566,752610,19.9128,4.87631,13.2,11.5
